Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region
HP-14815,Harold Pawlan,Home Office,United States,Jackson,Michigan,49201,Central
MS-17980,Michael Stewart,Corporate,United States,Dallas,Texas,75220,Central
SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South
EG-13900,Emily Grady,Consumer,United States,Oceanside,New York,11572,East
NB-18655,Nona Balk,Corporate,United States,Jacksonville,Florida,32216,South
SG-20080,Sandra Glassco,Consumer,United States,Independence,Missouri,64055,Central
KH-16630,Ken Heidel,Corporate,United States,Norman,Oklahoma,73071,Central
AJ-10960,Astrea Jones,Consumer,United States,Rochester,New York,14609,East
CA-12310,Christine Abelman,Corporate,United States,Cincinnati,Ohio,45231,East
PO-19180,Philisse Overcash,Home Office,United States,Chicago,Illinois,60623,Central
RB-19360,Raymond Buch,Consumer,United States,Auburn,New York,13021,East
SH-19975,Sally Hughsby,Corporate,United States,San Francisco,California,94122,West
DK-13225,Dean Katz,Corporate,United States,Chicago,Illinois,60653,Central
OT-18730,Olvera Toch,Consumer,United States,Los Angeles,California,90045,West
SP-20545,Sibella Parks,Corporate,United States,New York City,New York,10011,East
TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East
CS-11950,Carlos Soltero,Consumer,United States,Chicago,Illinois,60610,Central
AG-10525,Andy Gerbode,Corporate,United States,Saint Petersburg,Florida,33710,South
BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West
ME-17725,Max Engle,Consumer,United States,Aurora,Colorado,80013,West
SS-20875,Sung Shariari,Consumer,United States,Dallas,Texas,75220,Central
MK-17905,Michael Kennedy,Corporate,United States,Manchester,Connecticut,6040,East
SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,19805,East
DW-13585,Dorothy Wardle,Corporate,United States,Columbus,Ohio,43229,East
BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207,Central
PO-18850,Patrick O'Brill,Consumer,United States,Philadelphia,Pennsylvania,19143,East
